,Height##SECTION_PROPERTY##INCHES,Width##SECTION_PROPERTY##INCHES,Perimeter##SURFACE_AREA##Square_feet_per_foot,Section Area##SECTION_AREA##SQUARE_INCHES,Moment of Inertia strong axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Section Name Key##other##
FL 3/8X6-1/2,6.5,0.375,13.75,2.4375,8.582,0.029,2.641,0.152,3.961,0.229,Flat 3/8X6 1/2
FL 3/8X7,7,0.375,14.75,2.625,10.719,0.031,3.062,0.164,4.594,0.246,Flat 3/8X7
FL 3/8X7-1/2,7.5,0.375,15.75,2.8125,13.184,0.033,3.516,0.176,5.273,0.264,Flat 3/8X7 1/2
FL 3/8X8,8,0.375,16.75,3,16,0.035,4,0.188,6,0.281,Flat 3/8X8
FL 3/8X9,9,0.375,18.75,3.375,22.781,0.04,5.063,0.211,7.594,0.316,Flat 3/8X9
FL 3/8X10,10,0.375,20.75,3.75,31.25,0.044,6.25,0.234,9.375,0.352,Flat 3/8X10
FL 3/8X11,11,0.375,22.75,4.125,41.594,0.048,7.562,0.258,11.344,0.387,Flat 3/8X11
FL 3/8X12,12,0.375,24.75,4.5,54,0.053,9,0.281,13.5,0.422,Flat 3/8X12
FL 7/16X5/8,0.625,0.4375,2.125,0.2734,0.009,0.004,0.028,0.02,0.043,0.03,Flat 7/16X5/8
FL 7/16X3/4,0.75,0.4375,2.375,0.3281,0.015,0.005,0.041,0.024,0.062,0.036,Flat 7/16X3/4
FL 7/16X7/8,0.875,0.4375,2.625,0.3828,0.024,0.006,0.056,0.028,0.084,0.042,Flat 7/16X7/8
FL 7/16X1,1,0.4375,2.875,0.4375,0.036,0.007,0.073,0.032,0.109,0.048,Flat 7/16X1
FL 7/16X1-1/8,1.125,0.4375,3.125,0.4922,0.052,0.008,0.092,0.036,0.138,0.054,Flat 7/16X1 1/8
FL 7/16X1-1/4,1.25,0.4375,3.375,0.5469,0.071,0.009,0.114,0.04,0.171,0.06,Flat 7/16X1 1/4
FL 7/16X1-1/2,1.5,0.4375,3.875,0.6563,0.123,0.01,0.164,0.048,0.246,0.072,Flat 7/16X1 1/2
FL 7/16X1-3/4,1.75,0.4375,4.375,0.7656,0.195,0.012,0.223,0.056,0.335,0.084,Flat 7/16X1 3/4
FL 7/16X2,2,0.4375,4.875,0.875,0.292,0.014,0.292,0.064,0.437,0.096,Flat 7/16X2
FL 7/16X2-1/4,2.25,0.4375,5.375,0.9844,0.415,0.016,0.369,0.072,0.554,0.108,Flat 7/16X2 1/4
FL 7/16X2-1/2,2.5,0.4375,5.875,1.0938,0.57,0.017,0.456,0.08,0.684,0.12,Flat 7/16X2 1/2
FL 7/16X2-3/4,2.75,0.4375,6.375,1.2031,0.758,0.019,0.551,0.088,0.827,0.132,Flat 7/16X2 3/4
FL 7/16X3,3,0.4375,6.875,1.3125,0.984,0.021,0.656,0.096,0.984,0.144,Flat 7/16X3
FL 7/16X3-1/4,3.25,0.4375,7.375,1.4219,1.252,0.023,0.77,0.104,1.155,0.155,Flat 7/16X3 1/4
FL 7/16X3-1/2,3.5,0.4375,7.875,1.5313,1.563,0.024,0.893,0.112,1.34,0.168,Flat 7/16X3 1/2
FL 7/16X3-3/4,3.75,0.4375,8.375,1.6406,1.923,0.026,1.025,0.12,1.538,0.179,Flat 7/16X3 3/4
FL 7/16X4,4,0.4375,8.875,1.75,2.333,0.028,1.167,0.128,1.75,0.191,Flat 7/16X4
FL 7/16X4-1/2,4.5,0.4375,9.875,1.9688,3.322,0.031,1.477,0.144,2.215,0.215,Flat 7/16X4 1/2
FL 7/16X5,5,0.4375,10.875,2.1875,4.557,0.035,1.823,0.16,2.734,0.239,Flat 7/16X5
FL 7/16X5-1/2,5.5,0.4375,11.875,2.4063,6.066,0.038,2.206,0.175,3.309,0.263,Flat 7/16X5 1/2
FL 7/16X6,6,0.4375,12.875,2.625,7.875,0.042,2.625,0.191,3.937,0.287,Flat 7/16X6
FL 1/2X5/8,0.625,0.5,2.25,0.3125,0.01,0.007,0.033,0.026,0.049,0.039,Flat 1/2X5/8
FL 1/2X3/4,0.75,0.5,2.5,0.375,0.018,0.008,0.047,0.031,0.07,0.047,Flat 1/2X3/4
FL 1/2X7/8,0.875,0.5,2.75,0.4375,0.028,0.009,0.064,0.036,0.096,0.055,Flat 1/2X7/8
FL 1/2X1,1,0.5,3,0.5,0.042,0.01,0.083,0.042,0.125,0.062,Flat 1/2X1
FL 1/2X1-1/8,1.125,0.5,3.25,0.5625,0.059,0.012,0.105,0.047,0.158,0.07,Flat 1/2X1 1/8
FL 1/2X1-1/4,1.25,0.5,3.5,0.625,0.081,0.013,0.13,0.052,0.195,0.078,Flat 1/2X1 1/4
FL 1/2X1-1/2,1.5,0.5,4,0.75,0.141,0.016,0.188,0.062,0.281,0.094,Flat 1/2X1 1/2
FL 1/2X1-3/4,1.75,0.5,4.5,0.875,0.223,0.018,0.255,0.073,0.383,0.109,Flat 1/2X1 3/4
FL 1/2X2,2,0.5,5,1,0.333,0.021,0.333,0.083,0.5,0.125,Flat 1/2X2
FL 1/2X2-1/4,2.25,0.5,5.5,1.125,0.475,0.023,0.422,0.094,0.633,0.141,Flat 1/2X2 1/4
FL 1/2X2-1/2,2.5,0.5,6,1.25,0.651,0.026,0.521,0.104,0.781,0.156,Flat 1/2X2 1/2
FL 1/2X2-3/4,2.75,0.5,6.5,1.375,0.867,0.029,0.63,0.115,0.945,0.172,Flat 1/2X2 3/4
FL 1/2X3,3,0.5,7,1.5,1.125,0.031,0.75,0.125,1.125,0.188,Flat 1/2X3
FL 1/2X3-1/4,3.25,0.5,7.5,1.625,1.43,0.034,0.88,0.135,1.32,0.203,Flat 1/2X3 1/4
FL 1/2X3-1/2,3.5,0.5,8,1.75,1.786,0.036,1.021,0.146,1.531,0.219,Flat 1/2X3 1/2
FL 1/2X3-3/4,3.75,0.5,8.5,1.875,2.197,0.039,1.172,0.156,1.758,0.234,Flat 1/2X3 3/4
FL 1/2X4,4,0.5,9,2,2.667,0.042,1.333,0.167,2,0.25,Flat 1/2X4
FL 1/2X4-1/2,4.5,0.5,10,2.25,3.797,0.047,1.687,0.188,2.531,0.281,Flat 1/2X4 1/2
FL 1/2X5,5,0.5,11,2.5,5.208,0.052,2.083,0.208,3.125,0.313,Flat 1/2X5
FL 1/2X5-1/2,5.5,0.5,12,2.75,6.932,0.057,2.521,0.229,3.781,0.344,Flat 1/2X5 1/2
FL 1/2X6,6,0.5,13,3,9,0.062,3,0.25,4.5,0.375,Flat 1/2X6
FL 1/2X6-1/2,6.5,0.5,14,3.25,11.443,0.068,3.521,0.271,5.281,0.406,Flat 1/2X6 1/2
FL 1/2X7,7,0.5,15,3.5,14.292,0.073,4.083,0.292,6.125,0.437,Flat 1/2X7
FL 1/2X7-1/2,7.5,0.5,16,3.75,17.578,0.078,4.687,0.313,7.031,0.469,Flat 1/2X7 1/2
FL 1/2X8,8,0.5,17,4,21.333,0.083,5.333,0.333,8,0.5,Flat 1/2X8
FL 1/2X9,9,0.5,19,4.5,30.375,0.094,6.75,0.375,10.125,0.563,Flat 1/2X9
FL 1/2X10,10,0.5,21,5,41.667,0.104,8.333,0.417,12.5,0.625,Flat 1/2X10
FL 1/2X12,12,0.5,25,6,72,0.125,12,0.5,18,0.75,Flat 1/2X12
FL 5/8X3/4,0.75,0.625,2.75,0.4688,0.022,0.015,0.059,0.049,0.088,0.073,Flat 5/8X3/4
FL 5/8X7/8,0.875,0.625,3,0.5469,0.035,0.018,0.08,0.057,0.12,0.085,Flat 5/8X7/8
FL 5/8X1,1,0.625,3.25,0.625,0.052,0.02,0.104,0.065,0.156,0.098,Flat 5/8X1
FL 5/8X1-1/8,1.125,0.625,3.5,0.7031,0.074,0.023,0.132,0.073,0.198,0.11,Flat 5/8X1 1/8
FL 5/8X1-1/4,1.25,0.625,3.75,0.7813,0.102,0.025,0.163,0.081,0.244,0.122,Flat 5/8X1 1/4
FL 5/8X1-3/8,1.375,0.625,4,0.8594,0.135,0.028,0.197,0.09,0.295,0.134,Flat 5/8X1 3/8
FL 5/8X1-1/2,1.5,0.625,4.25,0.9375,0.176,0.031,0.234,0.098,0.352,0.146,Flat 5/8X1 1/2
FL 5/8X1-3/4,1.75,0.625,4.75,1.0938,0.279,0.036,0.319,0.114,0.478,0.171,Flat 5/8X1 3/4
FL 5/8X2,2,0.625,5.25,1.25,0.417,0.041,0.417,0.13,0.625,0.195,Flat 5/8X2
FL 5/8X2-1/4,2.25,0.625,5.75,1.4063,0.593,0.046,0.527,0.146,0.791,0.22,Flat 5/8X2 1/4
FL 5/8X2-1/2,2.5,0.625,6.25,1.5625,0.814,0.051,0.651,0.163,0.977,0.244,Flat 5/8X2 1/2
FL 5/8X2-3/4,2.75,0.625,6.75,1.7188,1.083,0.056,0.788,0.179,1.182,0.269,Flat 5/8X2 3/4
FL 5/8X3,3,0.625,7.25,1.875,1.406,0.061,0.938,0.195,1.406,0.293,Flat 5/8X3
FL 5/8X3-1/4,3.25,0.625,7.75,2.0313,1.788,0.066,1.1,0.212,1.65,0.317,Flat 5/8X3 1/4
FL 5/8X3-1/2,3.5,0.625,8.25,2.1875,2.233,0.071,1.276,0.228,1.914,0.342,Flat 5/8X3 1/2
FL 5/8X3-3/4,3.75,0.625,8.75,2.3438,2.747,0.076,1.465,0.244,2.197,0.366,Flat 5/8X3 3/4
FL 5/8X4,4,0.625,9.25,2.5,3.333,0.081,1.667,0.26,2.5,0.391,Flat 5/8X4
FL 5/8X4-1/2,4.5,0.625,10.25,2.8125,4.746,0.092,2.109,0.293,3.164,0.439,Flat 5/8X4 1/2
FL 5/8X5,5,0.625,11.25,3.125,6.51,0.102,2.604,0.326,3.906,0.488,Flat 5/8X5
FL 5/8X5-1/2,5.5,0.625,12.25,3.4375,8.665,0.112,3.151,0.358,4.727,0.537,Flat 5/8X5 1/2
FL 5/8X6,6,0.625,13.25,3.75,11.25,0.122,3.75,0.391,5.625,0.586,Flat 5/8X6
FL 5/8X6-1/2,6.5,0.625,14.25,4.0625,14.303,0.132,4.401,0.423,6.602,0.635,Flat 5/8X6 1/2
FL 5/8X7,7,0.625,15.25,4.375,17.865,0.142,5.104,0.456,7.656,0.684,Flat 5/8X7
FL 5/8X7-1/2,7.5,0.625,16.25,4.6875,21.973,0.153,5.859,0.488,8.789,0.732,Flat 5/8X7 1/2
FL 5/8X8,8,0.625,17.25,5,26.667,0.163,6.667,0.521,10,0.781,Flat 5/8X8
FL 5/8X9,9,0.625,19.25,5.625,37.969,0.183,8.438,0.586,12.656,0.879,Flat 5/8X9
FL 5/8X10,10,0.625,21.25,6.25,52.083,0.203,10.417,0.651,15.625,0.977,Flat 5/8X10
FL 5/8X12,12,0.625,25.25,7.5,90,0.244,15,0.781,22.5,1.172,Flat 5/8X12
